sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,nominal_length,read_count,fastq_ftp,sra_ftp
SAMN05519034,SRR4027891,38727,Panicum virgatum,Illumina Genome Analyzer II,SINGLE,,24178263,ftp.sra.ebi.ac.uk/vol1/fastq/SRR402/001/SRR4027891/SRR4027891_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR402/001/SRR4027891/SRR4027891_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR402/001/SRR4027891
SAMEA5208808,ERR3421812,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,541.0,31384642,ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/002/ERR3421812/ERR3421812_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/002/ERR3421812/ERR3421812_2.fastq.gz;,
SAMN00262772,SRR400588,15368,Brachypodium distachyon,Illumina Genome Analyzer II,PAIRED,300.0,25559273,ftp.sra.ebi.ac.uk/vol1/fastq/SRR400/SRR400588/SRR400588_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR400/SRR400588/SRR400588_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR400/SRR400588
SAMN02261369,SRR407688,880070,Cyclobacterium marinum DSM 745,Illumina Genome Analyzer II,PAIRED,300.0,22716507,ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/SRR407688/SRR407688_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR407/SRR407688/SRR407688_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR407/SRR407688
SAMEA2041103,ERR206803,9796,Equus caballus,Illumina HiSeq 2000,PAIRED,100.0,32538767,ftp.sra.ebi.ac.uk/vol1/fastq/ERR206/ERR206803/ERR206803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR206/ERR206803/ERR206803_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR206/ERR206803
SAMEA3916789,ERR1584361,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,423.0,24494996,ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/001/ERR1584361/ERR1584361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR158/001/ERR1584361/ERR1584361_2.fastq.gz;,
SAMN08957100,SRR7050997,69293,Gasterosteus aculeatus,Illumina HiSeq 2000,PAIRED,,19496192,ftp.sra.ebi.ac.uk/vol1/fastq/SRR705/007/SRR7050997/SRR7050997_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR705/007/SRR7050997/SRR7050997_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR705/007/SRR7050997
SAMEA103943058,ERR2363308,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,459.0,31477468,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/008/ERR2363308/ERR2363308_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/008/ERR2363308/ERR2363308_2.fastq.gz;,
SAMEA4708970,ERR2737687,1070528,viral metagenome,Illumina HiSeq 2500,PAIRED,350.0,31527878,ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/007/ERR2737687/ERR2737687_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR273/007/ERR2737687/ERR2737687_2.fastq.gz;,
SAMEA4475386,ERR2744586,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,408.0,24005928,ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2744586/ERR2744586_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR274/006/ERR2744586/ERR2744586_2.fastq.gz;,
SAMEA1463845,ERR124385,6239,Caenorhabditis elegans,Illumina HiSeq 2000,PAIRED,321.0,20103084,ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124385/ERR124385_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR124/ERR124385/ERR124385_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR124/ERR124385
SAMN12265347,SRR9678559,9606,Homo sapiens,HiSeq X Ten,PAIRED,,10994259,ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/009/SRR9678559/SRR9678559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR967/009/SRR9678559/SRR9678559_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR967/009/SRR9678559
SAMEA104278971,ERR2644133,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,384.0,22882072,ftp.sra.ebi.ac.uk/vol1/fastq/ERR264/003/ERR2644133/ERR2644133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR264/003/ERR2644133/ERR2644133_2.fastq.gz;,
SAMN08640746,SRR7284792,89462,Bubalus bubalis,NextSeq 500,PAIRED,,13865196,ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7284792/SRR7284792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR728/002/SRR7284792/SRR7284792_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR728/002/SRR7284792
SAMN00801370,ERR006376,9606,Homo sapiens,Illumina Genome Analyzer,PAIRED,171.0,21018221,ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006376/ERR006376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006376/ERR006376_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR006/ERR006376/col/QUALITY/md5
SAMEA1560800,ERR206552,5661,Leishmania donovani,Illumina HiSeq 2000,PAIRED,447.0,11689250,ftp.sra.ebi.ac.uk/vol1/fastq/ERR206/ERR206552/ERR206552_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR206/ERR206552/ERR206552_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR206/ERR206552
SAMN07513208,SRR5940131,4232,Helianthus annuus,HiSeq X Ten,PAIRED,,44503783,ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5940131/SRR5940131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR594/001/SRR5940131/SRR5940131_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR594/001/SRR5940131
SAMEA1689528,ERR226680,7173,Anopheles arabiensis,Illumina HiSeq 2000,PAIRED,243.0,23455844,ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/ERR226680/ERR226680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR226/ERR226680/ERR226680_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR226/ERR226680
SAMN12791807,SRR10187538,3656,Cucumis melo,HiSeq X Ten,PAIRED,,12842612,ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/038/SRR10187538/SRR10187538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/038/SRR10187538/SRR10187538_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR101/038/SRR10187538
SAMEA104368060,ERR2190161,195,Campylobacter coli,Illumina HiSeq 2000,PAIRED,147.0,12693492,ftp.sra.ebi.ac.uk/vol1/fastq/ERR219/001/ERR2190161/ERR2190161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR219/001/ERR2190161/ERR2190161_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR219/001/ERR2190161
SAMEA3521719,ERR1274883,5833,Plasmodium falciparum,Illumina HiSeq 2000,PAIRED,235.0,33532548,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/003/ERR1274883/ERR1274883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/003/ERR1274883/ERR1274883_2.fastq.gz;,
SAMN00117529,SRR071448,670307,Hyphomicrobium denitrificans 1NES1,Illumina Genome Analyzer II,PAIRED,,46194487,ftp.sra.ebi.ac.uk/vol1/fastq/SRR071/SRR071448/SRR071448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR071/SRR071448/SRR071448_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR071/SRR071448
SAMN00800835,SRR006122,9606,Homo sapiens,Illumina Genome Analyzer II,PAIRED,317.0,15149639,ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006122/SRR006122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006122/SRR006122_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR006/SRR006122
SAMEA2826707,ERR659230,1107348,Heliconius melpomene melpomene x Heliconius melpomene rosina,Illumina HiSeq 2000,PAIRED,400.0,16301583,ftp.sra.ebi.ac.uk/vol1/fastq/ERR659/ERR659230/ERR659230_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR659/ERR659230/ERR659230_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR659/ERR659230
SAMN12061093,SRR9308065,3988,Ricinus communis,HiSeq X Ten,PAIRED,,24574980,ftp.sra.ebi.ac.uk/vol1/fastq/SRR930/005/SRR9308065/SRR9308065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR930/005/SRR9308065/SRR9308065_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR930/005/SRR9308065
SAMN02086249,SRR949978,1295535,Kwoniella europaea PYCC 6162,Illumina HiSeq 2000,PAIRED,5000.0,26404440,ftp.sra.ebi.ac.uk/vol1/fastq/SRR949/SRR949978/SRR949978_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR949/SRR949978/SRR949978_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR949/SRR949978
SAMEA5066459,ERR2891959,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,502.0,22210938,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/009/ERR2891959/ERR2891959_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/009/ERR2891959/ERR2891959_2.fastq.gz;,
SAMEA104077443,ERR1981738,75162,Andricus inflator,Illumina HiSeq 2500,PAIRED,300.0,13672948,ftp.sra.ebi.ac.uk/vol1/fastq/ERR198/008/ERR1981738/ERR1981738_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR198/008/ERR1981738/ERR1981738_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR198/008/ERR1981738
SAMN10274681,SRR8240139,102107,Prunus mume,Illumina HiSeq 4000,PAIRED,,46696779,ftp.sra.ebi.ac.uk/vol1/fastq/SRR824/009/SRR8240139/SRR8240139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR824/009/SRR8240139/SRR8240139_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR824/009/SRR8240139
SAMEA2055729,ERR323359,10090,Mus musculus,Illumina HiSeq 2000,PAIRED,485.0,12536811,ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/ERR323359/ERR323359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/ERR323359/ERR323359_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR323/ERR323359
SAMEA5055169,ERR2864358,7240,Drosophila simulans,Illumina HiSeq 2500,PAIRED,500.0,17632700,ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/008/ERR2864358/ERR2864358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR286/008/ERR2864358/ERR2864358_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR286/008/ERR2864358
SAMN10316360,SRR8116935,34305,Lotus japonicus,Illumina HiSeq 2000,PAIRED,,12114040,ftp.sra.ebi.ac.uk/vol1/fastq/SRR811/005/SRR8116935/SRR8116935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR811/005/SRR8116935/SRR8116935_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR811/005/SRR8116935
SAMN02194776,SRR892346,1172184,Rhodococcus sp. 114MFTsu3.1,Illumina HiSeq 2000,PAIRED,300.0,20540337,ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/SRR892346/SRR892346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/SRR892346/SRR892346_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR892/SRR892346
SAMN03651888,SRR2033328,7227,Drosophila melanogaster,Illumina HiSeq 2500,PAIRED,,21291448,ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/008/SRR2033328/SRR2033328_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/008/SRR2033328/SRR2033328_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR203/008/SRR2033328
SAMN12770977,SRR10128359,4577,Zea mays,Illumina HiSeq 2000,PAIRED,,16592355,ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/059/SRR10128359/SRR10128359_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/059/SRR10128359/SRR10128359_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR101/059/SRR10128359
SAMN07312462,SRR5879185,29484,Yersinia frederiksenii,Illumina HiSeq 4000,PAIRED,425.0,15721585,ftp.sra.ebi.ac.uk/vol1/fastq/SRR587/005/SRR5879185/SRR5879185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR587/005/SRR5879185/SRR5879185_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR587/005/SRR5879185
SAMN09976384,SRR7786189,96569,Exbucklandia tonkinensis,HiSeq X Ten,PAIRED,,21723256,ftp.sra.ebi.ac.uk/vol1/fastq/SRR778/009/SRR7786189/SRR7786189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR778/009/SRR7786189/SRR7786189_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR778/009/SRR7786189
SAMN00001121,SRR029740,9606,Homo sapiens,Illumina Genome Analyzer II,PAIRED,438.0,25800466,ftp.sra.ebi.ac.uk/vol1/fastq/SRR029/SRR029740/SRR029740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR029/SRR029740/SRR029740_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR029/SRR029740
SAMEA2782817,ERR634932,4565,Triticum aestivum,Illumina Genome Analyzer IIx,PAIRED,0.0,30636673,ftp.sra.ebi.ac.uk/vol1/fastq/ERR634/ERR634932/ERR634932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR634/ERR634932/ERR634932_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR634/ERR634932
SAMN11289429,SRR8816446,6239,Caenorhabditis elegans,Illumina HiSeq 2000,PAIRED,,16872471,ftp.sra.ebi.ac.uk/vol1/fastq/SRR881/006/SRR8816446/SRR8816446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR881/006/SRR8816446/SRR8816446_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR881/006/SRR8816446
SAMEA5234211,ERR3259425,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,370.0,23019466,ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/005/ERR3259425/ERR3259425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR325/005/ERR3259425/ERR3259425_2.fastq.gz;,
SAMEA2057674,ERR323709,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,244.0,19725883,ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/ERR323709/ERR323709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR323/ERR323709/ERR323709_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR323/ERR323709
SAMN09087733,SRR7403075,4113,Solanum tuberosum,HiSeq X Ten,PAIRED,,11961694,ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/005/SRR7403075/SRR7403075_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR740/005/SRR7403075/SRR7403075_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR740/005/SRR7403075
SAMN11417023,SRR8896044,73275,Helianthus argophyllus,Illumina HiSeq 4000,PAIRED,,23819556,ftp.sra.ebi.ac.uk/vol1/fastq/SRR889/004/SRR8896044/SRR8896044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR889/004/SRR8896044/SRR8896044_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR889/004/SRR8896044
SAMN03956639,SRR2173930,3847,Glycine max,Illumina HiSeq 2000,PAIRED,,42799197,ftp.sra.ebi.ac.uk/vol1/fastq/SRR217/000/SRR2173930/SRR2173930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR217/000/SRR2173930/SRR2173930_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR217/000/SRR2173930
SAMEA5202177,ERR3020918,10090,Mus musculus,Illumina HiSeq 2500,SINGLE,,17011938,ftp.sra.ebi.ac.uk/vol1/fastq/ERR302/008/ERR3020918/ERR3020918.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR302/008/ERR3020918
SAMEA103917031,ERR2364283,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,443.0,21275302,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/003/ERR2364283/ERR2364283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/003/ERR2364283/ERR2364283_2.fastq.gz;,
SAMN00000793,SRR006332,202950,Acinetobacter baylyi,Illumina Genome Analyzer,SINGLE,,18131349,ftp.sra.ebi.ac.uk/vol1/fastq/SRR006/SRR006332/SRR006332.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR006/SRR006332
SAMN12792135,SRR10187563,3656,Cucumis melo,HiSeq X Ten,PAIRED,,11810735,ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/063/SRR10187563/SRR10187563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/063/SRR10187563/SRR10187563_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR101/063/SRR10187563
SAMEA4789369,ERR2893166,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,535.0,21751522,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/006/ERR2893166/ERR2893166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/006/ERR2893166/ERR2893166_2.fastq.gz;,
SAMEA2581391,ERR1408216,9606,Homo sapiens,HiSeq X Ten,PAIRED,430.0,49164524,ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/006/ERR1408216/ERR1408216_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR140/006/ERR1408216/ERR1408216_2.fastq.gz;,
SAMEA4488976,ERR2651344,4932,Saccharomyces cerevisiae,HiSeq X Ten,PAIRED,444.0,10507202,ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/004/ERR2651344/ERR2651344_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR265/004/ERR2651344/ERR2651344_2.fastq.gz;,
SAMEA104063160,ERR2217795,1070528,viral metagenome,Illumina HiSeq 2500,PAIRED,500.0,22864210,ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/005/ERR2217795/ERR2217795_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR221/005/ERR2217795/ERR2217795_2.fastq.gz;,
SAMD00050899,DRR059755,74647,Rosa multiflora,Illumina HiSeq 2000,PAIRED,20000.0,39176126,ftp.sra.ebi.ac.uk/vol1/fastq/DRR059/DRR059755/DRR059755_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR059/DRR059755/DRR059755_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/drr/DRR059/DRR059755
SAMN00205588,SRR098281,413997,Escherichia coli B str. REL606,Illumina Genome Analyzer II,SINGLE,,21971950,ftp.sra.ebi.ac.uk/vol1/fastq/SRR098/SRR098281/SRR098281.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR098/SRR098281
SAMEA4976066,ERR2908192,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,400.0,34859862,ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2908192/ERR2908192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/002/ERR2908192/ERR2908192_2.fastq.gz;,
SAMEA3895473,ERR1308683,4932,Saccharomyces cerevisiae,Illumina HiSeq 2000,PAIRED,552.0,13324011,ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/003/ERR1308683/ERR1308683_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/003/ERR1308683/ERR1308683_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR130/003/ERR1308683
SAMN07426249,SRR5880518,65128,Paramecium sexaurelia,Illumina HiSeq 2500,PAIRED,,27098478,ftp.sra.ebi.ac.uk/vol1/fastq/SRR588/008/SRR5880518/SRR5880518_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR588/008/SRR5880518/SRR5880518_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR588/008/SRR5880518
SAMN11404132,SRR8888783,4232,Helianthus annuus,Illumina HiSeq 4000,PAIRED,,25647127,ftp.sra.ebi.ac.uk/vol1/fastq/SRR888/003/SRR8888783/SRR8888783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR888/003/SRR8888783/SRR8888783_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR888/003/SRR8888783
SAMEA3894902,ERR1309088,4932,Saccharomyces cerevisiae,Illumina HiSeq 2000,PAIRED,355.0,18394333,ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/008/ERR1309088/ERR1309088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR130/008/ERR1309088/ERR1309088_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR130/008/ERR1309088
SAMEA3146076,ERR869799,559292,Saccharomyces cerevisiae S288C,Illumina HiSeq 2000,PAIRED,458.0,14625398,ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/ERR869799/ERR869799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR869/ERR869799/ERR869799_2.fastq.gz;,
SAMEA103958053,ERR2144542,10090,Mus musculus,HiSeq X Ten,PAIRED,445.0,23690920,ftp.sra.ebi.ac.uk/vol1/fastq/ERR214/002/ERR2144542/ERR2144542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR214/002/ERR2144542/ERR2144542_2.fastq.gz;,
SAMEA4851696,ERR2908363,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,422.0,26584396,ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/003/ERR2908363/ERR2908363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR290/003/ERR2908363/ERR2908363_2.fastq.gz;,
SAMN03005086,SRR1572630,4081,Solanum lycopersicum,Illumina HiSeq 2000,PAIRED,,37606781,ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1572630/SRR1572630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR157/000/SRR1572630/SRR1572630_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR157/000/SRR1572630
SAMN00013052,SRR020409,69293,Gasterosteus aculeatus,Illumina Genome Analyzer II,PAIRED,500.0,11376714,ftp.sra.ebi.ac.uk/vol1/fastq/SRR020/SRR020409/SRR020409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR020/SRR020409/SRR020409_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR020/SRR020409
SAMEA104210240,ERR2892494,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,504.0,35800410,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2892494/ERR2892494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2892494/ERR2892494_2.fastq.gz;,
SAMN00008617,SRR030880,9606,Homo sapiens,Illumina Genome Analyzer II,SINGLE,,15069473,ftp.sra.ebi.ac.uk/vol1/fastq/SRR030/SRR030880/SRR030880.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR030/SRR030880
SAMEA4851594,ERR2893527,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,511.0,31396582,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/007/ERR2893527/ERR2893527_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/007/ERR2893527/ERR2893527_2.fastq.gz;,
SAMEA103916972,ERR2364264,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,424.0,32489852,ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/004/ERR2364264/ERR2364264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR236/004/ERR2364264/ERR2364264_2.fastq.gz;,
SAMN13074170,SRR10335121,183809,Eucalyptus albens,Illumina NovaSeq 6000,PAIRED,,10236314,ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/021/SRR10335121/SRR10335121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/021/SRR10335121/SRR10335121_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR103/021/SRR10335121
SAMN03652627,SRR2068633,5811,Toxoplasma gondii,Illumina HiSeq 2000,PAIRED,,11651332,ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/003/SRR2068633/SRR2068633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR206/003/SRR2068633/SRR2068633_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR206/003/SRR2068633
SAMEA4384995,ERR2091631,7955,Danio rerio,HiSeq X Ten,PAIRED,442.0,12349080,ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091631/ERR2091631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/001/ERR2091631/ERR2091631_2.fastq.gz;,
SAMEA5059135,ERR2889817,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,502.0,38021944,ftp.sra.ebi.ac.uk/vol1/fastq/ERR288/007/ERR2889817/ERR2889817_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR288/007/ERR2889817/ERR2889817_2.fastq.gz;,
SAMN06265652,SRR6829811,62337,Miscanthus sinensis,Illumina HiSeq 2000,PAIRED,,39680963,ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6829811/SRR6829811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR682/001/SRR6829811/SRR6829811_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR682/001/SRR6829811
SAMEA3442418,ERR909900,10090,Mus musculus,Illumina HiSeq 2500,PAIRED,106.0,25059000,ftp.sra.ebi.ac.uk/vol1/fastq/ERR909/ERR909900/ERR909900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR909/ERR909900/ERR909900_2.fastq.gz;,
