sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,read_count,fastq_ftp,sra_ftp
SAMN09232846,SRR7417892,2496707,Mesorhizobium sp. M7A.F.Ca.US.006.01.1.1,Illumina HiSeq 4000,PAIRED,117958,ftp.sra.ebi.ac.uk/vol1/fastq/SRR741/002/SRR7417892/SRR7417892_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR741/002/SRR7417892/SRR7417892_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR741/002/SRR7417892
SAMN01096674,ERR250766,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,31146496,ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/ERR250766/ERR250766_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/ERR250766/ERR250766_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR250/ERR250766
SAMEA3269951,ERR963089,1335626,Middle East respiratory syndrome-related coronavirus,Illumina MiSeq,PAIRED,1382414,ftp.sra.ebi.ac.uk/vol1/fastq/ERR963/ERR963089/ERR963089_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR963/ERR963089/ERR963089_2.fastq.gz;,
SAMN02195080,SRR892948,6239,Caenorhabditis elegans,Illumina HiSeq 2000,SINGLE,661261,ftp.sra.ebi.ac.uk/vol1/fastq/SRR892/SRR892948/SRR892948.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR892/SRR892948
SAMN02899213,SRR1593356,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,14407445,ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/006/SRR1593356/SRR1593356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR159/006/SRR1593356/SRR1593356_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR159/006/SRR1593356
SAMN10907576,SRR8553970,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Illumina HiSeq 2500,PAIRED,1771396,ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/000/SRR8553970/SRR8553970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR855/000/SRR8553970/SRR8553970_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR855/000/SRR8553970
SAMEA104360926,ERR2988348,1392002,Mycobacterium avium 05-4293,HiSeq X Ten,PAIRED,2299634,ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2988348/ERR2988348_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR298/008/ERR2988348/ERR2988348_2.fastq.gz;,
SAMN05752911,SRR4207367,1314,Streptococcus pyogenes,Illumina HiSeq 2500,SINGLE,2292678,ftp.sra.ebi.ac.uk/vol1/fastq/SRR420/007/SRR4207367/SRR4207367.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR420/007/SRR4207367
SAMEA1462266,ERR144686,1314,Streptococcus pyogenes,Illumina HiSeq 2000,PAIRED,2171054,ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/ERR144686/ERR144686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR144/ERR144686/ERR144686_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR144/ERR144686
SAMN13064240,SRR10313703,149388,Salmonella enterica subsp. enterica serovar Mikawasima,Illumina HiSeq 2500,PAIRED,2203128,ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR10313703/SRR10313703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/003/SRR10313703/SRR10313703_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR103/003/SRR10313703
SAMN05340449,SRR3730616,1280,Staphylococcus aureus,Illumina HiSeq 2500,PAIRED,1582935,ftp.sra.ebi.ac.uk/vol1/fastq/SRR373/006/SRR3730616/SRR3730616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR373/006/SRR3730616/SRR3730616_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR373/006/SRR3730616
SAMN13649804,SRR10744646,28901,Salmonella enterica,Illumina MiSeq,PAIRED,666281,ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/046/SRR10744646/SRR10744646_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR107/046/SRR10744646/SRR10744646_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR107/046/SRR10744646
SAMN08500552,SRR6691697,611,Salmonella enterica subsp. enterica serovar Heidelberg,Illumina MiSeq,PAIRED,2085724,ftp.sra.ebi.ac.uk/vol1/fastq/SRR669/007/SRR6691697/SRR6691697_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR669/007/SRR6691697/SRR6691697_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR669/007/SRR6691697
SAMEA3941156,ERR1378673,9606,Homo sapiens,Illumina HiSeq 2500,SINGLE,1188278,ftp.sra.ebi.ac.uk/vol1/fastq/ERR137/003/ERR1378673/ERR1378673.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR137/003/ERR1378673
SAMEA2150363,ERR357490,90370,Salmonella enterica subsp. enterica serovar Typhi,Illumina HiSeq 2000,PAIRED,3258228,ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/ERR357490/ERR357490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR357/ERR357490/ERR357490_2.fastq.gz;,
SAMEA5868257,ERR3483236,3702,Arabidopsis thaliana,Illumina HiSeq 3000,PAIRED,1371308,ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3483236/ERR3483236_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR348/006/ERR3483236/ERR3483236_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR348/006/ERR3483236
SAMN00001696,ERR1279804,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,415345,ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/004/ERR1279804/ERR1279804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR127/004/ERR1279804/ERR1279804_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR127/004/ERR1279804
SAMN06239924,SRR5192613,747,Pasteurella multocida,Illumina MiSeq,PAIRED,705935,ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/003/SRR5192613/SRR5192613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR519/003/SRR5192613/SRR5192613_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR519/003/SRR5192613
SAMN00001686,SRR005517,9606,Homo sapiens,Illumina Genome Analyzer,SINGLE,7734326,ftp.sra.ebi.ac.uk/vol1/fastq/SRR005/SRR005517/SRR005517.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR005/SRR005517
SAMN00001695,ERR1258922,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,594412,ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1258922/ERR1258922_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1258922/ERR1258922_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR125/002/ERR1258922
SAMEA103958068,ERR2144095,10090,Mus musculus,HiSeq X Ten,PAIRED,18993690,ftp.sra.ebi.ac.uk/vol1/fastq/ERR214/005/ERR2144095/ERR2144095_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR214/005/ERR2144095/ERR2144095_2.fastq.gz;,
SAMN06092321,SRR5067487,1773,Mycobacterium tuberculosis,Illumina HiSeq 2500,PAIRED,1210962,ftp.sra.ebi.ac.uk/vol1/fastq/SRR506/007/SRR5067487/SRR5067487_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR506/007/SRR5067487/SRR5067487_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR506/007/SRR5067487
SAMN00006580,ERR1496631,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,1453987,ftp.sra.ebi.ac.uk/vol1/fastq/ERR149/001/ERR1496631/ERR1496631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR149/001/ERR1496631/ERR1496631_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR149/001/ERR1496631
SAMN08299213,SRR6450307,28091,Neisseria weaveri,Illumina MiSeq,PAIRED,771925,ftp.sra.ebi.ac.uk/vol1/fastq/SRR645/007/SRR6450307/SRR6450307_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR645/007/SRR6450307/SRR6450307_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR645/007/SRR6450307
SAMN08533706,SRR6728679,51952,Elaeis,Illumina HiSeq 4000,SINGLE,3831397,ftp.sra.ebi.ac.uk/vol1/fastq/SRR672/009/SRR6728679/SRR6728679.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR672/009/SRR6728679
SAMN09434920,SRR7351432,48409,Salmonella enterica subsp. enterica serovar Virchow,Illumina HiSeq 2500,PAIRED,1378580,ftp.sra.ebi.ac.uk/vol1/fastq/SRR735/002/SRR7351432/SRR7351432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR735/002/SRR7351432/SRR7351432_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR735/002/SRR7351432
SAMN03571606,SRR2001657,34735,Apoidea,Illumina Genome Analyzer II,PAIRED,14684228,ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/007/SRR2001657/SRR2001657_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/007/SRR2001657/SRR2001657_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR200/007/SRR2001657
SAMEA5417664,ERR3394902,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,43780,ftp.sra.ebi.ac.uk/vol1/fastq/ERR339/002/ERR3394902/ERR3394902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR339/002/ERR3394902/ERR3394902_2.fastq.gz;,
SAMN04593065,SRR3320451,1311,Streptococcus agalactiae,Illumina HiSeq 2500,PAIRED,1146146,ftp.sra.ebi.ac.uk/vol1/fastq/SRR332/001/SRR3320451/SRR3320451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR332/001/SRR3320451/SRR3320451_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR332/001/SRR3320451
SAMN06123980,SRR5095607,61482,Timema podura,Illumina HiSeq 2000,SINGLE,958553,ftp.sra.ebi.ac.uk/vol1/fastq/SRR509/007/SRR5095607/SRR5095607.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR509/007/SRR5095607
SAMN06010543,SRR5031314,287,Pseudomonas aeruginosa,Illumina MiSeq,PAIRED,847753,ftp.sra.ebi.ac.uk/vol1/fastq/SRR503/004/SRR5031314/SRR5031314_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR503/004/SRR5031314/SRR5031314_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR503/004/SRR5031314
SAMN00797419,ERR244939,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,1980120,ftp.sra.ebi.ac.uk/vol1/fastq/ERR244/ERR244939/ERR244939_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR244/ERR244939/ERR244939_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR244/ERR244939
SAMN00000519,SRR014782,9606,Homo sapiens,Illumina Genome Analyzer II,PAIRED,7375845,ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014782/SRR014782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR014/SRR014782/SRR014782_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR014/SRR014782
SAMEA5751560,ERR3449135,573,Klebsiella pneumoniae,HiSeq X Ten,PAIRED,3931604,ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/005/ERR3449135/ERR3449135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/005/ERR3449135/ERR3449135_2.fastq.gz;,
SAMN12924312,SRR10236735,28901,Salmonella enterica,Illumina MiSeq,PAIRED,1135433,ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/035/SRR10236735/SRR10236735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR102/035/SRR10236735/SRR10236735_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR102/035/SRR10236735
SAMEA5050365,ERR3217410,1313,Streptococcus pneumoniae,HiSeq X Ten,PAIRED,2051628,ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3217410/ERR3217410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR321/000/ERR3217410/ERR3217410_2.fastq.gz;,
SAMN04099596,SRR2467745,4543,Cenchrus americanus,Illumina HiSeq 2000,PAIRED,5272201,ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/005/SRR2467745/SRR2467745_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR246/005/SRR2467745/SRR2467745_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR246/005/SRR2467745
SAMN03288291,SRR1779420,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,6861416,ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779420/SRR1779420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR177/000/SRR1779420/SRR1779420_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR177/000/SRR1779420
SAMN05853047,SRR4369573,40324,Stenotrophomonas maltophilia,Illumina HiSeq 2000,PAIRED,1738110,ftp.sra.ebi.ac.uk/vol1/fastq/SRR436/003/SRR4369573/SRR4369573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR436/003/SRR4369573/SRR4369573_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR436/003/SRR4369573
SAMN00006465,ERR1326475,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,611671,ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1326475/ERR1326475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR132/005/ERR1326475/ERR1326475_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR132/005/ERR1326475
SAMEA104703669,ERR2915808,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,234,ftp.sra.ebi.ac.uk/vol1/fastq/ERR291/008/ERR2915808/ERR2915808_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR291/008/ERR2915808/ERR2915808_2.fastq.gz;,
SAMN01886038,SRR649433,121845,Diaphorina citri,Illumina HiSeq 2000,PAIRED,30003948,ftp.sra.ebi.ac.uk/vol1/fastq/SRR649/SRR649433/SRR649433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR649/SRR649433/SRR649433_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR649/SRR649433
SAMN10822384,SRR8527645,1491,Clostridium botulinum,Illumina MiSeq,PAIRED,1832143,ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8527645/SRR8527645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR852/005/SRR8527645/SRR8527645_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR852/005/SRR8527645
SAMEA6141409,ERR3633149,28901,Salmonella enterica,Illumina NovaSeq 6000,PAIRED,479350,ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/009/ERR3633149/ERR3633149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR363/009/ERR3633149/ERR3633149_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR363/009/ERR3633149
SAMN05446852,SRR4146435,668251,Khuskia oryzae,Illumina HiSeq 2500,PAIRED,39786757,ftp.sra.ebi.ac.uk/vol1/fastq/SRR414/005/SRR4146435/SRR4146435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR414/005/SRR4146435/SRR4146435_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR414/005/SRR4146435
SAMN05421875,SRR4234952,592050,Acidovorax soli,Illumina HiSeq 2500,PAIRED,3178805,ftp.sra.ebi.ac.uk/vol1/fastq/SRR423/002/SRR4234952/SRR4234952_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR423/002/SRR4234952/SRR4234952_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR423/002/SRR4234952
SAMEA2569866,ERR610477,4530,Oryza sativa,Illumina HiSeq 2000,PAIRED,8014760,ftp.sra.ebi.ac.uk/vol1/fastq/ERR610/ERR610477/ERR610477_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR610/ERR610477/ERR610477_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR610/ERR610477
SAMN10719947,SRR8426772,179997,Salmonella enterica subsp. enterica serovar Havana,Illumina HiSeq 2500,PAIRED,2227466,ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8426772/SRR8426772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR842/002/SRR8426772/SRR8426772_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR842/002/SRR8426772
SAMEA4388280,ERR1788542,1313,Streptococcus pneumoniae,Illumina HiSeq 2500,PAIRED,2452578,ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/002/ERR1788542/ERR1788542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR178/002/ERR1788542/ERR1788542_2.fastq.gz;,
SAMEA5164544,ERR3082968,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,24286,ftp.sra.ebi.ac.uk/vol1/fastq/ERR308/008/ERR3082968/ERR3082968_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR308/008/ERR3082968/ERR3082968_2.fastq.gz;,
SAMN06032076,SRR5064415,1311,Streptococcus agalactiae,Illumina MiSeq,PAIRED,433048,ftp.sra.ebi.ac.uk/vol1/fastq/SRR506/005/SRR5064415/SRR5064415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR506/005/SRR5064415/SRR5064415_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR506/005/SRR5064415
SAMEA3556526,ERR1025547,197,Campylobacter jejuni,Illumina MiSeq,PAIRED,1340820,ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1025547/ERR1025547.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1025547/ERR1025547_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR102/007/ERR1025547/ERR1025547_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR102/007/ERR1025547
SAMEA5987527,ERR3569501,186058,Cuscuta epithymum,Illumina HiSeq 1000,PAIRED,15205284,ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/001/ERR3569501/ERR3569501_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR356/001/ERR3569501/ERR3569501_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR356/001/ERR3569501
SAMN00012758,SRR492337,3702,Arabidopsis thaliana,Illumina HiSeq 2000,PAIRED,41536831,ftp.sra.ebi.ac.uk/vol1/fastq/SRR492/SRR492337/SRR492337_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR492/SRR492337/SRR492337_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR492/SRR492337
SAMEA2568471,ERR630145,4530,Oryza sativa,Illumina HiSeq 2000,PAIRED,3628843,ftp.sra.ebi.ac.uk/vol1/fastq/ERR630/ERR630145/ERR630145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR630/ERR630145/ERR630145_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR630/ERR630145
SAMN05337400,SRR3729177,1280,Staphylococcus aureus,Illumina HiSeq 2500,PAIRED,1978663,ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3729177/SRR3729177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR372/007/SRR3729177/SRR3729177_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR372/007/SRR3729177
SAMN02333650,SRR956831,6239,Caenorhabditis elegans,Illumina HiSeq 2000,PAIRED,9860852,ftp.sra.ebi.ac.uk/vol1/fastq/SRR956/SRR956831/SRR956831_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR956/SRR956831/SRR956831_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR956/SRR956831
SAMEA2237313,ERR419771,205,Campylobacter sp.,Illumina HiSeq 2000,PAIRED,4508986,ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/ERR419771/ERR419771_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR419/ERR419771/ERR419771_2.fastq.gz;,
SAMEA5608955,ERR3325928,485,Neisseria gonorrhoeae,Illumina MiSeq,PAIRED,563654,ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3325928/ERR3325928_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR332/008/ERR3325928/ERR3325928_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR332/008/ERR3325928
SAMN07975095,SRR6253534,149385,Salmonella enterica subsp. enterica serovar Hadar,Illumina MiSeq,PAIRED,1489301,ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6253534/SRR6253534_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR625/004/SRR6253534/SRR6253534_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR625/004/SRR6253534
SAMEA4752752,ERR3886719,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,772,ftp.sra.ebi.ac.uk/vol1/fastq/ERR388/009/ERR3886719/ERR3886719_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR388/009/ERR3886719/ERR3886719_2.fastq.gz;,
SAMN06669708,SRR5407140,4932,Saccharomyces cerevisiae,Illumina HiSeq 2500,PAIRED,1525650,ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5407140/SRR5407140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR540/000/SRR5407140/SRR5407140_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR540/000/SRR5407140
SAMN00007929,ERR3960790,9606,Homo sapiens,Illumina NovaSeq 6000,PAIRED,33502890,ftp.sra.ebi.ac.uk/vol1/fastq/ERR396/000/ERR3960790/ERR3960790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR396/000/ERR3960790/ERR3960790_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR396/000/ERR3960790
SAMN09218541,SRR7176599,1313,Streptococcus pneumoniae,Illumina MiSeq,PAIRED,240956,ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/009/SRR7176599/SRR7176599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR717/009/SRR7176599/SRR7176599_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR717/009/SRR7176599
SAMN10484235,SRR8324930,4530,Oryza sativa,HiSeq X Ten,PAIRED,20425060,ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/000/SRR8324930/SRR8324930_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR832/000/SRR8324930/SRR8324930_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR832/000/SRR8324930
SAMEA2613963,ERR666932,5833,Plasmodium falciparum,Illumina HiSeq 2000,PAIRED,48806628,ftp.sra.ebi.ac.uk/vol1/fastq/ERR666/ERR666932/ERR666932_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR666/ERR666932/ERR666932_2.fastq.gz;,
SAMEA4935666,ERR2809312,9606,Homo sapiens,NextSeq 500,SINGLE,1224778,ftp.sra.ebi.ac.uk/vol1/fastq/ERR280/002/ERR2809312/ERR2809312.fastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR280/002/ERR2809312
SAMN03359110,SRR1815821,1351,Enterococcus faecalis,Illumina HiSeq 2500,PAIRED,2057335,ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/001/SRR1815821/SRR1815821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR181/001/SRR1815821/SRR1815821_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR181/001/SRR1815821
SAMEA5168640,ERR3133473,5833,Plasmodium falciparum,Illumina MiSeq,PAIRED,2282,ftp.sra.ebi.ac.uk/vol1/fastq/ERR313/003/ERR3133473/ERR3133473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR313/003/ERR3133473/ERR3133473_2.fastq.gz;,
SAMEA6529015,ERR3890163,487,Neisseria meningitidis,Illumina HiSeq 2500,PAIRED,1552720,ftp.sra.ebi.ac.uk/vol1/fastq/ERR389/003/ERR3890163/ERR3890163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR389/003/ERR3890163/ERR3890163_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR389/003/ERR3890163
SAMN01091027,SRR794554,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,3247865,ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/SRR794554/SRR794554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR794/SRR794554/SRR794554_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR794/SRR794554
SAMEA47251168,ERR1940776,1639,Listeria monocytogenes,HiSeq X Ten,PAIRED,2139320,ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/006/ERR1940776/ERR1940776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR194/006/ERR1940776/ERR1940776_2.fastq.gz;,
SAMEA3941968,ERR1557441,1352,Enterococcus faecium,Illumina HiSeq 2000,PAIRED,2984284,ftp.sra.ebi.ac.uk/vol1/fastq/ERR155/001/ERR1557441/ERR1557441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR155/001/ERR1557441/ERR1557441_2.fastq.gz;,
SAMN06434633,SRR5280142,562,Escherichia coli,Illumina HiSeq 2500,PAIRED,1694692,ftp.sra.ebi.ac.uk/vol1/fastq/SRR528/002/SRR5280142/SRR5280142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR528/002/SRR5280142/SRR5280142_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR528/002/SRR5280142
SAMN13168634,SRR10377453,562,Escherichia coli,Illumina MiSeq,PAIRED,504018,ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/053/SRR10377453/SRR10377453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR103/053/SRR10377453/SRR10377453_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR103/053/SRR10377453
